,Cluster Name,Street_clusters,City_clusters,State_clusters,Facility Type,Cluster Start Date,# Cases,Latitude_clusters,Longitude_clusters,Accuracy Score_clusters,Accuracy Type_clusters,County_clusters,Zip_clusters,matches,Request #,Status,Date / Time Opened,Date / Time Closed,Contact Type,State Issue,Closed When Created,Address,City_violations,Council District,ZIP,Mapped Location,Address_geo,City_geo,ZIP_geo,state,Latitude_violations,Longitude_violations,Accuracy Score_violations,Accuracy Type_violations,Number,Street_violations,City.1,State_violations,County_violations,Zip_violations
0,Trevecca Center for Rehab and Healing,329 Murfreesboro Pike,Nashville,TN,LTCF,4/4/20,102,36.144764,-86.755659,1.0,rooftop,Davidson County,37210.0,329 Murfreesboro Pike,429008,Closed,2020-07-28 14:16:20,2020-07-29 18:46:11,,False,False,329 Murfreesboro Pike,NASHVILLE,17.0,37210.0,"(36.14456, -86.75456)",329 Murfreesboro Pike,NASHVILLE,37210.0,TN,36.144764,-86.755659,1.0,rooftop,329,Murfreesboro Pike,Nashville,TN,Davidson County,37210
1,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,339597,Closed,2020-04-05 17:13:59,2020-04-10 17:19:55,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.12837600000001, -86.8345785)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
2,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,338380,Closed,2020-04-03 14:32:43,2020-04-10 17:23:47,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.12842, -86.83669)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
3,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,338362,Closed,2020-04-03 14:23:57,2020-04-10 17:19:39,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.12837600000001, -86.8345785)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
4,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,360377,Closed,2020-05-06 14:42:30,2020-05-07 15:09:19,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.1284249, -86.8366934)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
5,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,365255,Closed,2020-05-12 17:04:53,2020-05-13 16:37:42,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.1277086, -86.8366003)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
6,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,401263,Closed,2020-06-26 13:52:13,2020-06-29 18:36:50,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.12853, -86.83647)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
7,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,435775,Closed,2020-08-03 05:23:34,2020-08-03 17:52:24,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.127867291643206, -86.83734249458159)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
8,Montgomery Bell Academy job site,4001 Harding Pike,Nashville,TN,Construction,5/8/20,75,36.093008000000005,-86.84554,0.7,range_interpolation,Davidson County,37215.0,4001 Harding Pike,475228,Closed,2020-10-04 14:57:01,2020-10-05 13:53:06,,False,False,4001 Harding Pike,NASHVILLE,24.0,37205.0,"(36.12879426159236, -86.83709815)",4001 Harding Pike,NASHVILLE,37205.0,TN,36.093008000000005,-86.84554,0.7,range_interpolation,4001,Harding Pl,Nashville,TN,Davidson County,37215
9,Grand Hyatt Hotel (Power Design Inc) job site,1000 Broadway,Nashville,TN,Construction,5/19/20,23,36.157829,-86.78420799999999,1.0,range_interpolation,Davidson County,37203.0,1000 Broadway,341201,Closed,2020-04-07 15:45:42,2020-04-10 17:10:37,,False,False,1000 Broadway,NASHVILLE,19.0,37203.0,"(36.1579945, -86.7842417)",1000 Broadway,NASHVILLE,37203.0,TN,36.157829,-86.78420799999999,1.0,range_interpolation,1000,Broadway,Nashville,TN,Davidson County,37203
10,Grand Hyatt Hotel (Power Design Inc) job site,1000 Broadway,Nashville,TN,Construction,5/19/20,23,36.157829,-86.78420799999999,1.0,range_interpolation,Davidson County,37203.0,1000 Broadway,359313,Closed,2020-05-05 15:33:14,2020-05-07 15:15:28,,False,False,1000 Broadway,NASHVILLE,19.0,37203.0,"(36.15799, -86.78424)",1000 Broadway,NASHVILLE,37203.0,TN,36.157829,-86.78420799999999,1.0,range_interpolation,1000,Broadway,Nashville,TN,Davidson County,37203
11,Good Samaritan Health & Healing,500 Hickory Hollow Terrace,Antioch,TN,LTCF,6/3/20,75,36.052440000000004,-86.648262,0.8,range_interpolation,Davidson County,37013.0,500 Hickory Hollow Terrace,354105,Closed,2020-04-28 16:07:45,2020-05-07 15:17:06,,False,False,500 Hickory Hollow Terrace,ANTIOCH,32.0,37013.0,"(36.05338, -86.64929)",500 Hickory Hollow Terrace,ANTIOCH,37013.0,TN,36.052440000000004,-86.648262,0.8,range_interpolation,500,Hickory Hollow Ter,Antioch,TN,Davidson County,37013
12,Good Samaritan Health & Healing,500 Hickory Hollow Terrace,Antioch,TN,LTCF,6/3/20,75,36.052440000000004,-86.648262,0.8,range_interpolation,Davidson County,37013.0,500 Hickory Hollow Terrace,350510,Closed,2020-04-22 15:13:37,2020-04-24 15:25:54,,False,False,500 Hickory Hollow Terrace,ANTIOCH,32.0,37013.0,"(36.05338, -86.64929)",500 Hickory Hollow Terrace,ANTIOCH,37013.0,TN,36.052440000000004,-86.648262,0.8,range_interpolation,500,Hickory Hollow Ter,Antioch,TN,Davidson County,37013
13,Good Samaritan Health & Healing,500 Hickory Hollow Terrace,Antioch,TN,LTCF,6/3/20,75,36.052440000000004,-86.648262,0.8,range_interpolation,Davidson County,37013.0,500 Hickory Hollow Terrace,381321,Closed,2020-06-01 18:34:32,2020-06-02 15:06:30,,False,False,500 Hickory Hollow Terrace,ANTIOCH,32.0,37013.0,"(36.053383, -86.6492928)",500 Hickory Hollow Terrace,ANTIOCH,37013.0,TN,36.052440000000004,-86.648262,0.8,range_interpolation,500,Hickory Hollow Ter,Antioch,TN,Davidson County,37013
14,Good Samaritan Health & Healing,500 Hickory Hollow Terrace,Antioch,TN,LTCF,6/3/20,75,36.052440000000004,-86.648262,0.8,range_interpolation,Davidson County,37013.0,500 Hickory Hollow Terrace,359927,Closed,2020-05-05 21:09:36,2020-05-07 15:12:43,,False,False,500 Hickory Hollow Terrace,ANTIOCH,32.0,37013.0,"(36.05338, -86.64929)",500 Hickory Hollow Terrace,ANTIOCH,37013.0,TN,36.052440000000004,-86.648262,0.8,range_interpolation,500,Hickory Hollow Ter,Antioch,TN,Davidson County,37013
15,Good Samaritan Health & Healing,500 Hickory Hollow Terrace,Antioch,TN,LTCF,6/3/20,75,36.052440000000004,-86.648262,0.8,range_interpolation,Davidson County,37013.0,500 Hickory Hollow Terrace,379034,Closed,2020-05-28 20:48:12,2020-05-29 16:01:35,,False,False,500 Hickory Hollow Terrace,ANTIOCH,32.0,37013.0,"(36.05338, -86.64929)",500 Hickory Hollow Terrace,ANTIOCH,37013.0,TN,36.052440000000004,-86.648262,0.8,range_interpolation,500,Hickory Hollow Ter,Antioch,TN,Davidson County,37013
16,Good Samaritan Health & Healing,500 Hickory Hollow Terrace,Antioch,TN,LTCF,6/3/20,75,36.052440000000004,-86.648262,0.8,range_interpolation,Davidson County,37013.0,500 Hickory Hollow Terrace,403251,Closed,2020-06-29 17:52:08,2020-06-30 17:59:55,,False,False,500 Hickory Hollow Terrace,ANTIOCH,32.0,37013.0,"(36.053383, -86.6492928)",500 Hickory Hollow Terrace,ANTIOCH,37013.0,TN,36.052440000000004,-86.648262,0.8,range_interpolation,500,Hickory Hollow Ter,Antioch,TN,Davidson County,37013
17,Hermitage Hall,1220 8th Ave S,Nashville,TN,Congregate Living,6/20/20,93,36.140155,-86.77757199999999,1.0,rooftop,Davidson County,37203.0,1220 8th Ave S,394335,Closed,2020-06-17 16:15:48,2020-06-18 16:13:49,,False,False,1220 8th Ave S,NASHVILLE,17.0,37203.0,"(36.14007, -86.77757)",1220 8th Ave S,NASHVILLE,37203.0,TN,36.140155,-86.77757199999999,1.0,rooftop,1220,8th Ave S,Nashville,TN,Davidson County,37203
18,Hermitage Hall,1220 8th Ave S,Nashville,TN,Congregate Living,6/20/20,93,36.140155,-86.77757199999999,1.0,rooftop,Davidson County,37203.0,1220 8th Ave S,395150,Closed,2020-06-18 14:27:45,2020-06-19 18:10:55,,False,False,1220 8th Ave S,NASHVILLE,17.0,37203.0,"(36.1400677, -86.77757319999999)",1220 8th Ave S,NASHVILLE,37203.0,TN,36.140155,-86.77757199999999,1.0,rooftop,1220,8th Ave S,Nashville,TN,Davidson County,37203
19,Hermitage Hall,1220 8th Ave S,Nashville,TN,Congregate Living,6/20/20,93,36.140155,-86.77757199999999,1.0,rooftop,Davidson County,37203.0,1220 8th Ave S,395934,Closed,2020-06-19 00:58:28,2020-06-19 18:10:29,,False,False,1220 8th Ave S,NASHVILLE,17.0,37203.0,"(36.14002386159713, -86.77758929325408)",1220 8th Ave S,NASHVILLE,37203.0,TN,36.140155,-86.77757199999999,1.0,rooftop,1220,8th Ave S,Nashville,TN,Davidson County,37203
20,Hermitage Hall,1220 8th Ave S,Nashville,TN,Congregate Living,6/20/20,93,36.140155,-86.77757199999999,1.0,rooftop,Davidson County,37203.0,1220 8th Ave S,396554,Closed,2020-06-19 18:19:12,2020-06-22 18:10:14,,False,False,1220 8th Ave S,NASHVILLE,17.0,37203.0,"(36.14002386159711, -86.77758929325408)",1220 8th Ave S,NASHVILLE,37203.0,TN,36.140155,-86.77757199999999,1.0,rooftop,1220,8th Ave S,Nashville,TN,Davidson County,37203
21,Hermitage Hall,1220 8th Ave S,Nashville,TN,Congregate Living,6/20/20,93,36.140155,-86.77757199999999,1.0,rooftop,Davidson County,37203.0,1220 8th Ave S,396117,Closed,2020-06-19 14:04:30,2020-06-22 16:26:45,,False,False,1220 8th Ave S,NASHVILLE,17.0,37203.0,"(36.14007, -86.77757)",1220 8th Ave S,NASHVILLE,37203.0,TN,36.140155,-86.77757199999999,1.0,rooftop,1220,8th Ave S,Nashville,TN,Davidson County,37203
22,Hermitage Hall,1220 8th Ave S,Nashville,TN,Congregate Living,6/20/20,93,36.140155,-86.77757199999999,1.0,rooftop,Davidson County,37203.0,1220 8th Ave S,403998,Closed,2020-06-30 15:19:31,2020-07-01 17:51:01,,False,False,1220 8th Ave S,NASHVILLE,17.0,37203.0,"(36.14007, -86.77757)",1220 8th Ave S,NASHVILLE,37203.0,TN,36.140155,-86.77757199999999,1.0,rooftop,1220,8th Ave S,Nashville,TN,Davidson County,37203
